list-id-none,1,1,4,3,117000,39000,333
list-id-none,1,2,4,6,121000,20166,166
list-id-none,1,4,4,12,207000,17250,0
list-id-none,1,8,4,24,20708000,862833,125
list-id-none,1,16,4,48,2533000,52770,41
list-id-m,1,1,4,3,4304000,1434666,7000
list-id-m,1,2,4,6,127000,21166,2333
list-id-m,1,4,4,12,61921000,5160083,1333
list-id-m,1,8,4,24,233000,9708,750
list-id-m,1,16,4,48,16262000,338791,1541
list-id-m,4,1,4,12,577000,48083,96000
list-id-m,4,2,4,24,354000,14750,28791
list-id-m,4,4,4,48,983000,20479,52375
list-id-m,4,8,4,96,46242000,481687,1439604
list-id-m,4,16,4,192,4254000,22156,65885
list-id-m,8,1,4,24,555000,23125,96500
list-id-m,8,2,4,48,803000,16729,82270
list-id-m,8,4,4,96,1119000,11656,65083
list-id-m,8,8,4,192,2707000,14098,91244
list-id-m,8,16,4,384,4437000,11554,78507
list-id-m,12,1,4,36,1131000,31416,202777
list-id-m,12,2,4,72,1881000,26125,233569
list-id-m,12,4,4,144,3173000,22034,163118
list-id-m,12,8,4,288,29809000,103503,1126767
list-id-m,12,16,4,576,4679000,8123,85722
list-id-m,16,1,4,48,839000,17479,105770
list-id-m,16,2,4,96,2031000,21156,219572
list-id-m,16,4,4,192,1805000,9401,112864
list-id-m,16,8,4,384,3409000,8877,116658
list-id-m,16,16,4,768,32070000,41757,608630
list-id-s,1,1,4,3,102000,34000,333
list-id-s,1,2,4,6,42761000,7126833,666
list-id-s,1,4,4,12,106000,8833,166
list-id-s,1,8,4,24,123000,5125,41
list-id-s,1,16,4,48,4792000,99833,62
list-id-s,4,1,4,12,41823000,3485250,10289583
list-id-s,4,2,4,24,134225000,5592708,16354958
list-id-s,4,4,4,48,322960000,6728333,16079291
list-id-s,4,8,4,96,379919000,3957489,11756479
list-id-s,4,16,4,192,412982000,2150947,6450526
list-id-s,8,1,4,24,281453000,11727208,57013333
list-id-s,8,2,4,48,489266000,10193041,56527500
list-id-s,8,4,4,96,755988000,7874875,46819739
list-id-s,8,8,4,192,1399585000,7289505,46849177
list-id-s,8,16,4,384,2621057000,6825669,46324677
list-id-s,12,1,4,36,263221000,7311694,59020277
list-id-s,12,2,4,72,497080000,6903888,62729430
list-id-s,12,4,4,144,957481000,6649173,61163493
list-id-s,12,8,4,288,2121089000,7364892,73857194
list-id-s,12,16,4,576,4829311000,8384220,87474671
list-id-s,16,1,4,48,598502000,12468791,144413958
list-id-s,16,2,4,96,812027000,8458614,98895250
list-id-s,16,4,4,192,1805747000,9404932,110050916
list-id-s,16,8,4,384,3451050000,8987109,117664552
list-id-s,16,16,4,768,6859891000,8932149,126299348
list-none-m,1,1000,1,3000,4774000,1591,76
list-none-m,2,1000,1,6000,50422000,8403,8247
list-none-m,4,1000,1,12000,164853000,13737,43115
list-none-m,8,1000,1,24000,496843000,20701,146378
list-none-m,12,1000,1,36000,1108866000,30801,340778
list-none-m,16,1000,1,48000,2109904000,43956,661016
list-none-m,24,1000,1,72000,4351606000,60438,1391769
list-none-m,1,1000,4,3000,2886000,962,64
list-none-m,2,1000,4,6000,28827000,4804,3522
list-none-m,4,1000,4,12000,165360000,13780,42028
list-none-m,8,1000,4,24000,432019000,18000,127245
list-none-m,12,1000,4,36000,975641000,27101,299226
list-none-m,1,1000,8,3000,3179000,1059,57
list-none-m,2,1000,8,6000,37263000,6210,6368
list-none-m,4,1000,8,12000,142711000,11892,36840
list-none-m,8,1000,8,24000,399822000,16659,117719
list-none-m,12,1000,8,36000,1034172000,28727,317132
list-none-m,1,1000,16,3000,5778000,1926,69
list-none-m,2,1000,16,6000,89299000,14883,16961
list-none-m,4,1000,16,12000,137161000,11430,35820
list-none-m,8,1000,16,24000,463744000,19322,135931
list-none-m,12,1000,16,36000,1103453000,30651,338052
list-none-s,1,1000,1,3000,5024000,1674,48
list-none-s,2,1000,1,6000,26610000,4435,4488
list-none-s,4,1000,1,12000,94551000,7879,15631
list-none-s,8,1000,1,24000,505145000,21047,116001
list-none-s,12,1000,1,36000,3027696000,84102,905477
list-none-s,16,1000,1,48000,6382312000,132964,1863927
list-none-s,24,1000,1,72000,26956643000,374397,8257860
list-none-s,1,1000,4,3000,7986000,2662,140
list-none-s,2,1000,4,6000,37107000,6184,5238
list-none-s,4,1000,4,12000,175743000,14645,33644
list-none-s,8,1000,4,24000,993073000,41378,284130
list-none-s,12,1000,4,36000,2906148000,80726,855001
list-none-s,1,1000,8,3000,3810000,1270,46
list-none-s,2,1000,8,6000,40665000,6777,6760
list-none-s,4,1000,8,12000,79820000,6651,14872
list-none-s,8,1000,8,24000,784798000,32699,217284
list-none-s,12,1000,8,36000,3410635000,94739,961227
list-none-s,1,1000,16,3000,6091000,2030,64
list-none-s,2,1000,16,6000,25661000,4276,4162
list-none-s,4,1000,16,12000,209887000,17490,51663
list-none-s,8,1000,16,24000,1185555000,49398,340688
list-none-s,12,1000,16,36000,2894518000,80403,789631
